fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2016.0,9.0,4.31
Diesel,2014.0,11.0,9.99
Diesel,2018.0,7.0,20.0
Petrol,2013.0,12.0,2.88
Petrol,2012.0,13.0,7.3
Petrol,2012.0,13.0,3.39
Diesel,2019.0,6.0,26.9
Petrol,2015.0,10.0,4.75
Diesel,2020.0,5.0,33.5
Petrol,2021.0,4.0,26.5
Petrol,2011.0,14.0,2.37
Petrol,2019.0,6.0,9.03
Petrol,2019.0,6.0,52.0
Diesel,2019.0,6.0,39.9
Petrol,2018.0,7.0,6.4
Diesel,2019.0,6.0,18.75
Diesel,2019.0,6.0,41.5
Petrol,2019.0,6.0,5.12
Petrol,2014.0,11.0,4.95
Petrol,2016.0,9.0,4.31
Diesel,2014.0,11.0,9.99
Diesel,2018.0,7.0,20.0
Petrol,2013.0,12.0,2.88
Petrol,2012.0,13.0,7.3
Petrol,2012.0,13.0,3.39
Diesel,2019.0,6.0,26.9
Petrol,2015.0,10.0,4.75
Diesel,2020.0,5.0,33.5
Diesel,2017.0,8.0,40.0
Petrol,2015.0,10.0,8.42
Diesel,2018.0,7.0,18.95
Diesel,2019.0,6.0,10.27
Petrol,2018.0,7.0,49.5
Diesel,2018.0,7.0,14.25
Petrol,2014.0,11.0,4.17
Diesel,2018.0,7.0,29.55
Diesel,2017.0,8.0,40.0
Petrol,2019.0,6.0,4.93
Diesel,2019.0,6.0,13.75
Petrol,2014.0,11.0,3.35
Petrol,2017.0,8.0,3.35
Petrol,2014.0,11.0,3.01
Petrol,2020.0,5.0,11.5
Diesel,2014.0,11.0,3.95
Petrol,2018.0,7.0,7.5
CNG,2015.0,10.0,4.25
Diesel,2017.0,8.0,40.0
Petrol,2015.0,10.0,8.42
Diesel,2018.0,7.0,18.95
Diesel,2019.0,6.0,10.27
Petrol,2018.0,7.0,49.5
Diesel,2018.0,7.0,14.25
Petrol,2014.0,11.0,4.17
Diesel,2018.0,7.0,29.55
Diesel,2017.0,8.0,40.0
Petrol,2019.0,6.0,4.93
Diesel,2019.0,6.0,13.75
Petrol,2014.0,11.0,3.35
Petrol,2017.0,8.0,3.35
Petrol,2014.0,11.0,3.01
Petrol,2020.0,5.0,11.5
Diesel,2014.0,11.0,3.95
Petrol,2018.0,7.0,7.5
CNG,2015.0,10.0,4.25
Petrol,2022.0,3.0,1.25
Petrol,2011.0,14.0,2.34
Petrol,2019.0,6.0,19.5
Petrol,2017.0,8.0,5.27
Diesel,2019.0,6.0,47.98
Petrol,2017.0,8.0,10.0
Petrol,2020.0,5.0,9.25
Petrol,2020.0,5.0,30.5
Petrol,2022.0,3.0,83.0
Diesel,2018.0,7.0,7.71
Diesel,2015.0,10.0,15.75
Petrol,2016.0,9.0,9.4
Petrol,2017.0,8.0,7.75
Diesel,2018.0,7.0,27.5
Petrol,2018.0,7.0,5.36
Petrol,2019.0,6.0,7.9
Petrol,2011.0,14.0,2.75
Diesel,2016.0,9.0,12.0
Petrol,2016.0,9.0,3.85
Petrol,2015.0,10.0,6.86
Diesel,2015.0,10.0,34.9
Petrol,2019.0,6.0,10.39
Petrol,2019.0,6.0,1.1
Petrol,2017.0,8.0,69.0
Petrol,2021.0,4.0,7.56
Diesel,2014.0,11.0,12.21
Diesel,2017.0,8.0,23.9
Diesel,2017.0,8.0,5.71
Petrol,2018.0,7.0,7.25
Petrol,2018.0,7.0,5.93
Petrol,2016.0,9.0,6.5
Petrol,2017.0,8.0,6.25
Petrol,2016.0,9.0,4.61
Petrol,2017.0,8.0,52.0
Petrol,2023.0,2.0,15.21
Diesel,2014.0,11.0,17.5
Petrol,2016.0,9.0,20.5
Petrol,2015.0,10.0,5.65
Petrol,2016.0,9.0,3.85
Petrol,2015.0,10.0,6.86
Diesel,2015.0,10.0,34.9
Petrol,2019.0,6.0,10.39
Petrol,2019.0,6.0,1.1
Petrol,2017.0,8.0,69.0
Petrol,2021.0,4.0,7.56
Diesel,2014.0,11.0,12.21
Diesel,2017.0,8.0,23.9
Diesel,2017.0,8.0,5.71
Petrol,2018.0,7.0,7.25
Petrol,2018.0,7.0,5.93
Petrol,2016.0,9.0,6.5
Petrol,2017.0,8.0,6.25
Petrol,2016.0,9.0,4.61
Petrol,2017.0,8.0,52.0
Petrol,2023.0,2.0,15.21
Diesel,2014.0,11.0,17.5
Petrol,2016.0,9.0,20.5
Petrol,2015.0,10.0,5.65
Diesel,2020.0,5.0,22.5
Petrol,2017.0,8.0,9.87
Diesel,2018.0,7.0,6.5
Petrol,2013.0,12.0,2.63
Diesel,2015.0,10.0,15.5
Diesel,2021.0,4.0,43.9
Petrol,2014.0,11.0,3.39
Petrol,2022.0,3.0,56.5
Petrol,2019.0,6.0,43.0
Petrol,2011.0,14.0,2.59
Petrol,2023.0,2.0,6.65
Petrol,2019.0,6.0,6.49
Diesel,2015.0,10.0,29.75
Diesel,2022.0,3.0,1.55
Petrol,2015.0,10.0,5.37
Petrol,2022.0,3.0,71.9
Petrol,2018.0,7.0,1.09
Petrol,2010.0,15.0,1.54
Petrol,2021.0,4.0,54.8
Diesel,2022.0,3.0,1.15
Petrol,2014.0,11.0,3.1
Petrol,2022.0,3.0,7.55
Petrol,2012.0,13.0,2.27
Petrol,2023.0,2.0,70.0
Petrol,2020.0,5.0,78.99
Petrol,2015.0,10.0,6.35
Petrol,2022.0,3.0,7.95
Diesel,2016.0,9.0,15.5
Petrol,2019.0,6.0,13.86
Petrol,2023.0,2.0,11.7
Petrol,2019.0,6.0,6.87
Diesel,2020.0,5.0,98.5
Diesel,2022.0,3.0,56.75
Petrol,2015.0,10.0,3.18
Petrol,2022.0,3.0,18.75
Diesel,2018.0,7.0,39.0
Petrol,2011.0,14.0,2.26
Petrol,2021.0,4.0,44.5
Petrol,2022.0,3.0,9.99
Diesel,2022.0,3.0,1.15
Petrol,2014.0,11.0,3.1
Petrol,2022.0,3.0,7.55
Petrol,2012.0,13.0,2.27
Petrol,2023.0,2.0,70.0
Petrol,2020.0,5.0,78.99
Petrol,2015.0,10.0,6.35
Petrol,2022.0,3.0,7.95
Diesel,2016.0,9.0,15.5
Petrol,2019.0,6.0,13.86
Petrol,2023.0,2.0,11.7
